"number","sentence","label1"
"1","Lambert 1907 automobile advertisement with the friction transmission featured in it ","advertising"
"2","Facebook has since turned these insights into precision advertising, the foundation of its business. ","advertising"
"3","It is an advertising technology (ad tech) tool that, throughout a platform, administrates the ads and their distribution ","advertising"
"4","Cookies can be used in online advertising as well, to remember your interests and show you related ads as you surf the web. ","advertising"
"5","Remember there is a famous AD copy is like this: believe you choice, wonderful everywhere. ","advertising"
"6","Boguan Advertisement has been committed to providing advertising services for the jewel and jade industry ","advertising"
"7","Good advertisement is a good promotion of products, it also likes any other aesthetical things which touch us innerly. ","advertising"
"8","In 1982, its ads proclaimed that it had ""140 locations, coast to coast"" ","advertising"
"9","He bought ads on Budget Travel, and he bought out Lonely Planet's home page for a week. ","advertising"
"10","With the examples of the car advertisements, this paper attempts to explore the features of the slogan of French advertisement by studying its succinctness, orality, humanity and vividness ","advertising"
"11","Ad executives say spending money on online content often is more important than buying ads ","advertising"
"12","Advertising regulation focuses heavily on the veracity of the claims and as such, there are often tighter restrictions placed around advertisements for food and healthcare products ","advertising"
"13","Lina Leandersson responded to an online advertisement seeking a 12-year-old boy or girl ""good at running"" ","advertising"
"14","Advertising will be placed in the Wall Street subway station and it will be wrapped around double-decker tour buses. ","advertising"
"15","No matter from which Angle, advertising creative affect communication effect this variable factors. ","advertising"
"16","A 1922 advertisement from a Scottish stove manufacturer for a multifuel stove ","advertising"
"17","The advertisements announced new health remedies as well as fresh foods and beverages ","advertising"
"18","If you're trying to make money from ads, you need to be creative in your ad placement or in the types of ads you have on your site. ","advertising"
"19","These ads are permitted from noon until 3 pm on school days and from 8:30 pm to 5 am every day ","advertising"
"20","You could check your ad history to see if the ads that attracted your attention supported their claims and offered useful information. ","advertising"
"21","However certain advertisers do not always transfer their intents directly, but in some indirect ways, and one of them is pun. ","advertising"
"22","Mondale borrowed the line from a hamburger commercial that had used the phrase to suggest that competing products shortchanged the consumer. ","advertising"
"23","Also known as profit-making commercial advertising or financial advertising, in terms of profits for the primary purpose of advertising. ","advertising"
"24","""The cost per revenue dollar of online ad systems is so much lower than"" for offline advertising, he said. ","advertising"
"25","compared with other elements, the advertising creative advertising in relation to the success or failure of key elements. ","advertising"
"26","To promote products and build up the image in the minds of consumers, advertising is inevitable word ""exaggerated. "" ","advertising"
"27","Online advertising does not seem able to deliver the kind of revenue that old-fashioned subscription services did. The culprit? ","advertising"
"28","People have always been equivocal about advertising, worrying that it hoodwinks them into buying things they do not need. ","advertising"
"29","Apple will continue to allow outside ad services to place ads in apps, though such ads often redirect users to a Web site when clicked. ","advertising"
"30","It is at them that Michelob Light aims its ad with the slogan: ""Who said you can't have it all? "" ","advertising"
"31","Online advertising will pay for everything. As if click fraud is any kind of a threat. ","advertising"
"32","The ads you click don't just boost revenue for Google, they also tell it how much to charge the next advertiser. ","advertising"
"33","One of the earliest advertisements (1868) was for mulberry and fruit trees ","advertising"
"34","And they put advertising against it and linked from it to iTunes ","advertising"
"35","They decided to advertise for their new product on TV ","advertising"
"36","Advertisers once primarily bought ads on specific Web pages - a car AD on a car site ","advertising"
"37","6cm high and therefore the largest glass vessel from Antiquity ","antique"
"38","No wonder all over the world and become a collector of antiques and antique fans search for beloved antiquities itinerary. ","antique"
"39","They That you spend all day dealing with antiques, antique, which caused very calm! ","antique"
"40","Behind the hotel are a number of antique stores and in the evening, dozens of stalls appear and turn the street into an antique market. ","antique"
"41","Panjiayuan antique seems to be going like the Tibetan treasure box collection room and gradually infiltrated into people's daily lives. ","antique"
"42","To know whether the vase is an antique, it needs the appraisal of the experts ","antique"
"43","At an antique shop, Basant and Vasant see an antique duck made of glass ","antique"
"44","He is both an expert, and master in antique authentication. ","antique"
"45","The famous collection of rare antiques is coming out next month ","antique"
"46","A prominent art collector, he owned ""a large collection of paintings by old masters and antique gems ","antique"
"47","By US standards, a genuine antique must be at least 100 years old ","antique"
