sentence,label1,label2,label3
Lambert 1907 automobile advertisement with the friction transmission featured in it ,advertising,,
"Facebook has since turned these insights into precision advertising, the foundation of its business. ",advertising,,
"It is an advertising technology (ad tech) tool that, throughout a platform, administrates the ads and their distribution ",advertising,,
"Cookies can be used in online advertising as well, to remember your interests and show you related ads as you surf the web. ",advertising,,
"Remember there is a famous AD copy is like this: believe you choice, wonderful everywhere. ",advertising,,
Boguan Advertisement has been committed to providing advertising services for the jewel and jade industry ,advertising,,
"Good advertisement is a good promotion of products, it also likes any other aesthetical things which touch us innerly. ",advertising,,
"In 1982, its ads proclaimed that it had ""140 locations, coast to coast"" ",advertising,,
"He bought ads on Budget Travel, and he bought out Lonely Planet's home page for a week. ",advertising,,
"With the examples of the car advertisements, this paper attempts to explore the features of the slogan of French advertisement by studying its succinctness, orality, humanity and vividness ",advertising,,
Ad executives say spending money on online content often is more important than buying ads ,advertising,,
"Advertising regulation focuses heavily on the veracity of the claims and as such, there are often tighter restrictions placed around advertisements for food and healthcare products ",advertising,,
"Lina Leandersson responded to an online advertisement seeking a 12-year-old boy or girl ""good at running"" ",advertising,,
Advertising will be placed in the Wall Street subway station and it will be wrapped around double-decker tour buses. ,advertising,,
"No matter from which Angle, advertising creative affect communication effect this variable factors. ",advertising,,
A 1922 advertisement from a Scottish stove manufacturer for a multifuel stove ,advertising,,
The advertisements announced new health remedies as well as fresh foods and beverages ,advertising,,
"If you're trying to make money from ads, you need to be creative in your ad placement or in the types of ads you have on your site. ",advertising,,
These ads are permitted from noon until 3 pm on school days and from 8:30 pm to 5 am every day ,advertising,,
You could check your ad history to see if the ads that attracted your attention supported their claims and offered useful information. ,advertising,,
"However certain advertisers do not always transfer their intents directly, but in some indirect ways, and one of them is pun. ",advertising,,
Mondale borrowed the line from a hamburger commercial that had used the phrase to suggest that competing products shortchanged the consumer. ,advertising,,
"Also known as profit-making commercial advertising or financial advertising, in terms of profits for the primary purpose of advertising. ",advertising,,
"""The cost per revenue dollar of online ad systems is so much lower than"" for offline advertising, he said. ",advertising,,
"compared with other elements, the advertising creative advertising in relation to the success or failure of key elements. ",advertising,,
"To promote products and build up the image in the minds of consumers, advertising is inevitable word ""exaggerated. "" ",advertising,,
Online advertising does not seem able to deliver the kind of revenue that old-fashioned subscription services did. The culprit? ,advertising,,
"People have always been equivocal about advertising, worrying that it hoodwinks them into buying things they do not need. ",advertising,,
"Apple will continue to allow outside ad services to place ads in apps, though such ads often redirect users to a Web site when clicked. ",advertising,,
"It is at them that Michelob Light aims its ad with the slogan: ""Who said you can't have it all? "" ",advertising,,
Online advertising will pay for everything. As if click fraud is any kind of a threat. ,advertising,,
"The ads you click don't just boost revenue for Google, they also tell it how much to charge the next advertiser. ",advertising,,
One of the earliest advertisements (1868) was for mulberry and fruit trees ,advertising,,
And they put advertising against it and linked from it to iTunes ,advertising,,
They decided to advertise for their new product on TV ,advertising,,
Advertisers once primarily bought ads on specific Web pages - a car AD on a car site ,advertising,,
6cm high and therefore the largest glass vessel from Antiquity ,antique,,
No wonder all over the world and become a collector of antiques and antique fans search for beloved antiquities itinerary. ,antique,,
"They That you spend all day dealing with antiques, antique, which caused very calm! ",antique,,
"Behind the hotel are a number of antique stores and in the evening, dozens of stalls appear and turn the street into an antique market. ",antique,,
Panjiayuan antique seems to be going like the Tibetan treasure box collection room and gradually infiltrated into people's daily lives. ,antique,,
"Relics found at the site include green glazed porcelain plates, shadowy blue porcelains and other rare antiques ",antique,archaeology,
"To know whether the vase is an antique, it needs the appraisal of the experts ",antique,,
"At an antique shop, Basant and Vasant see an antique duck made of glass ",antique,,
"He is both an expert, and master in antique authentication. ",antique,,
The famous collection of rare antiques is coming out next month ,antique,,
"A prominent art collector, he owned ""a large collection of paintings by old masters and antique gems ",antique,,
"By US standards, a genuine antique must be at least 100 years old ",antique,,
The SA Forum Application Interface occurs between a process and a library that implements the interface ,application,,
"Question answering is the next generation of search engine which is related to natural language processing, information retrieval and etc. ",application,artificial,
Oracle has released several Java Card platform specifications and is providing SDK tools for application development ,application,,
From the initial counter demonstrated that the static model demonstrated that as well as each different form model stage Xiu. ,application,model,
"WayRay demonstrated its development platform ''True AR SDK'', which is created to allow others to build augmented reality apps for automobiles ",application,,
WebCenter Services includes Oracle ADF user interface components (called Taskflows) that can be embedded directly into ADF applications ,application,,
"These include websites, e-commerce platforms, mobile apps, AI tools, chatbots, experiences, digital kiosks, and employee tools ",application,artificial,
"This paper discussed a software design of the onboard navigation system, using GPRS technology ",application,,
It is an important issue to determine the number of each connecting resource for reconfigurable computing(RC) in early design stage. ,application,chip,
"Thus, parsing a string of the grammar produces a sequence of rule applications ",application,,
The application design offers the possibility of using the graphic tools as well as ignoring many of them and using the program as integrated development environment ,application,,
"When automating the testing of any large Java application, you are bound to run across custom controls. ",application,,
Jspx should not be confused with other technologies using the same name like Oracle Application Framework and XML JSP ,application,,
'''Oracle WebCenter''' is Oracle's portfolio of user engagement software products built on top of the JSF-based Oracle Application Development Framework ,application,,
"Locomotive software was mainly divided into audio capture and compression module, file storage management module, wireless Ethernet data download module, MAX485 communication module; ",application,,
"com released the KitchMe app for Google Glass, the first cooking application for Google Glass ",application,,
"String interning is a common application of interning, where many strings with identical values are needed in the same program ",application,,
What are the recommended best practices for Java developers who are interested in using ROO framework as part of their software development process? ,application,,
SaaS inventory management software is a tool to help efficiently manage stock ,application,databsse,
"In addition, 3rd party software developers could freely implement new applications for the Nokia 9210 Communicator and offer them for download by the users ",application,,
''True AR SDK'' - an augmented reality development framework for third-party developers which allows building AR apps for cars ,application,,
Some apps are able to collect actual car prices around the world and select the best offers  ,application,,
"Generally speaking, every software development project has a group of testers and a group of developers ",application,,
It is possible to type directly from one's keyboard without the need to use web applications which implement an input method ,application,,
"The architecture of applications, including dynamic Web applications, is often described in terms of tiers. ",application,,
"Rational Web Developer is an easy-to-use IDE for visually constructing, testing, and deploying applications. ",application,,
Play with the sample application to see for yourself how much fun calculating any date can be with Joda. ,application,,
The network faults framework provides developers with an API that categorizes network exceptions passed to it by an application. ,application,,
Software development is about modeling the real world in code ,application,,
The program is notable for being the first steganography tool  ,application,,
"The base '''WebCenter Framework''' allows a user to embed portlets, ADF content, and customizable components in an Oracle ADF application ",application,,
"You may also need signal conditioning equipment, depending on the specifications of your application. ",application,,
Your application is now ready to run and behave according to the coded logic ,application,,
"Unlike most similar programs, it does not open a separate program window for the magnification but instead puts a movable magnifying glass on the screen ",application,,
"Such client applications and services include Desktop Productivity Tools (spreadsheets, word processors, presentation software, etc ",application,,
